day,station,week,period,in,out
30,pddd,3,29,766,4793
30,pddd,3,17,50,10
30,pddd,7,32,719,2993
30,pddd,2,41,1753,1903
30,pddd,5,50,2884,2052
30,pddd,2,48,2050,1395
30,pddd,2,48,2379,1519
30,pddd,5,65,4407,616
30,pddd,3,28,754,8169
30,pddd,1,58,3495,1423
30,pddd,1,24,614,3300
30,pddd,4,63,3107,487
30,pddd,4,45,1867,1527
30,pddd,7,27,430,2976
30,pddd,6,53,3436,2387
30,pddd,3,40,1567,1746
30,pddd,7,41,1923,3630
30,pddd,6,17,84,16
30,pddd,3,33,875,1992
30,pddd,4,32,821,2243
30,pddd,3,35,1039,1653
30,pddd,5,55,7009,3720
30,pddd,3,37,1345,1527
30,pddd,5,35,1231,1901
30,pddd,6,64,3617,469
30,pddd,7,29,487,1849
30,pddd,4,47,2640,1898
30,pddd,3,42,1638,1736
30,pddd,3,54,7018,2597
30,pddd,3,26,819,8824
30,pddd,7,43,2241,3764
30,pddd,7,28,451,2581
30,pddd,3,47,1928,1434
30,pddd,6,23,325,1542
30,pddd,4,50,3413,2122
30,pddd,6,39,1849,3855
30,pddd,3,25,823,6241
30,pddd,7,51,3736,2269
30,pddd,4,50,2499,1343
30,pddd,5,26,804,8648
30,pddd,4,60,2843,1481
30,pddd,3,72,0,4
30,pddd,1,56,6597,2396
30,pddd,2,35,1085,1644
30,pddd,4,23,495,2042
30,pddd,3,38,1411,1787
30,pddd,6,48,3639,2999
30,pddd,1,16,12,9
30,pddd,4,32,809,2186
30,pddd,5,54,6877,3300
30,pddd,4,62,2854,510
30,pddd,1,68,735,239
30,pddd,1,16,16,1
30,pddd,6,24,326,1565
30,pddd,2,30,583,3169
30,pddd,5,18,108,110
30,pddd,6,30,577,2630
30,pddd,1,65,2441,322
30,pddd,7,45,2950,3400
30,pddd,4,24,601,3302
30,pddd,6,44,2975,3475
30,pddd,3,29,726,5114
30,pddd,2,57,4681,2393
30,pddd,7,63,2661,450
30,pddd,1,19,133,826
30,pddd,4,22,385,1436
30,pddd,3,61,2897,574
30,pddd,5,56,6286,4321
30,pddd,1,30,704,3384
30,pddd,3,21,318,852
30,pddd,7,51,3514,2165
30,pddd,5,27,725,10793
30,pddd,2,16,17,5
30,pddd,6,19,195,1352
30,pddd,5,59,3140,1636
30,pddd,4,72,0,42
30,pddd,6,58,2997,1668
30,pddd,1,23,171,578
30,pddd,1,16,12,11
30,pddd,4,36,1115,1725
30,pddd,4,37,1235,1605
30,pddd,4,38,1370,1671
30,pddd,6,35,1082,3614
30,pddd,7,24,266,1033
30,pddd,4,41,1580,1749
30,pddd,5,41,1996,2065
30,pddd,4,43,1683,1615
30,pddd,7,24,232,1040
30,pddd,3,64,3129,421
30,pddd,4,46,1875,1351
30,pddd,5,67,5284,483
30,pddd,1,62,2089,528
30,pddd,5,59,3432,1867
30,pddd,7,19,254,423
30,pddd,3,65,2930,439
30,pddd,6,56,3003,1905
30,pddd,5,23,475,1905
30,pddd,2,61,2673,603
30,pddd,7,43,2489,3761
30,pddd,5,40,1739,1977
30,pddd,1,49,2060,1169
30,pddd,4,19,124,394
30,pddd,4,29,749,4940
30,pddd,6,47,3558,3159
30,pddd,3,35,959,1749
30,pddd,4,54,7007,2403
30,pddd,3,66,2390,354
30,pddd,3,58,3519,1645
30,pddd,2,49,2364,1356
30,pddd,6,50,4286,2778
30,pddd,4,67,3571,280
30,pddd,3,27,744,10928
30,pddd,5,16,26,2
30,pddd,7,43,2538,3353
30,pddd,5,44,2234,1866
30,pddd,3,38,1364,1743
30,pddd,6,16,29,7
30,pddd,4,40,1693,1831
30,pddd,7,15,4,0
30,pddd,5,57,4460,3922
30,pddd,7,42,2405,3763
30,pddd,1,38,1269,1615
30,pddd,1,59,2790,1131
30,pddd,3,41,1657,1830
30,pddd,3,28,797,8480
30,pddd,4,30,740,3703
30,pddd,1,66,1855,280
30,pddd,6,61,3492,877
30,pddd,7,60,2926,788
30,pddd,5,28,766,7683
30,pddd,2,17,48,9
30,pddd,5,43,1981,1863
30,pddd,7,59,2860,1156
30,pddd,4,41,1964,2015
30,pddd,6,36,1386,3653
30,pddd,3,44,1648,1592
30,pddd,1,42,1647,1546
30,pddd,2,44,1536,1253
30,pddd,5,59,3359,1701
30,pddd,5,38,1564,1912
30,pddd,4,64,4380,657
30,pddd,4,59,3003,1023
30,pddd,7,31,615,2600
30,pddd,5,32,842,2239
30,pddd,6,35,930,3606
30,pddd,2,37,1121,1622
30,pddd,5,45,2262,1885
30,pddd,1,23,509,2101
30,pddd,5,36,1238,1902
30,pddd,4,46,2474,1829
30,pddd,5,49,2677,1832
30,pddd,1,20,231,819
30,pddd,5,22,349,1192
30,pddd,1,23,497,2084
30,pddd,4,36,1102,1759
30,pddd,3,30,759,3277
30,pddd,2,47,2133,1542
