day,station,week,in,out
1,pddd,3,215,160
2,pddd,4,202,217
3,pddd,5,266,140
4,pddd,6,241,116
5,pddd,7,206,102
6,pddd,1,187,105
7,pddd,2,207,192
8,pddd,3,206,179
9,pddd,4,225,176
10,pddd,5,263,180
11,pddd,6,246,162
12,pddd,7,207,156
13,pddd,1,213,165
14,pddd,2,220,185
15,pddd,3,200,174
16,pddd,4,242,199
17,pddd,5,265,163
18,pddd,6,252,148
19,pddd,7,218,152
20,pddd,1,179,141
21,pddd,2,197,234
22,pddd,3,234,193
23,pddd,4,233,183
24,pddd,5,246,191
25,pddd,6,203,184
26,pddd,7,194,104
27,pddd,1,204,137
28,pddd,2,221,167
29,pddd,3,193,178
30,pddd,4,262,141
