day,station,week,period,in,out
30,rmgc,3,15,1,0
30,rmgc,3,16,17,10
30,rmgc,3,17,54,6
30,rmgc,3,18,88,20
30,rmgc,3,19,145,325
30,rmgc,3,20,192,533
30,rmgc,3,21,348,849
30,rmgc,3,22,410,1315
30,rmgc,3,23,469,1936
30,rmgc,3,24,669,3222
30,rmgc,3,25,786,6230
30,rmgc,3,26,829,8858
30,rmgc,3,27,764,11094
30,rmgc,3,28,800,7783
30,rmgc,3,29,726,5114
30,rmgc,3,30,752,3315
30,rmgc,3,31,750,2367
30,rmgc,3,32,861,2051
30,rmgc,3,33,875,1992
30,rmgc,3,34,956,1787
30,rmgc,3,35,1039,1653
30,rmgc,3,36,1175,1721
30,rmgc,3,37,1345,1527
30,rmgc,3,38,1411,1787
30,rmgc,3,39,1403,1636
30,rmgc,3,40,1573,1788
30,rmgc,3,41,1643,1712
30,rmgc,3,42,1638,1736
30,rmgc,3,43,1771,1697
30,rmgc,3,44,1648,1592
30,rmgc,3,45,1754,1436
30,rmgc,3,46,1841,1382
30,rmgc,3,47,1928,1434
30,rmgc,3,48,2102,1365
30,rmgc,3,49,2271,1391
30,rmgc,3,50,2395,1399
30,rmgc,3,51,2699,1453
30,rmgc,3,52,4181,1638
30,rmgc,3,53,5191,2119
30,rmgc,3,54,7018,2597
30,rmgc,3,55,7304,2916
30,rmgc,3,56,6289,2922
30,rmgc,3,57,4398,2777
30,rmgc,3,58,3513,1815
30,rmgc,3,59,2889,1133
30,rmgc,3,60,2608,908
30,rmgc,3,61,2839,643
30,rmgc,3,62,2764,552
30,rmgc,3,63,2792,398
30,rmgc,3,64,3409,424
30,rmgc,3,65,2930,439
30,rmgc,3,66,2565,335
30,rmgc,3,67,3563,318
30,rmgc,3,68,963,292
30,rmgc,3,69,411,220
30,rmgc,3,70,32,208
30,rmgc,3,71,1,64
30,rmgc,3,72,0,4
30,rmgc,4,15,4,0
30,rmgc,4,16,18,3
30,rmgc,4,17,66,8
30,rmgc,4,18,99,29
30,rmgc,4,19,146,277
30,rmgc,4,20,201,453
30,rmgc,4,21,324,902
30,rmgc,4,22,385,1436
30,rmgc,4,23,465,2041
30,rmgc,4,24,618,3056
30,rmgc,4,25,829,6384
30,rmgc,4,26,798,8576
30,rmgc,4,27,734,11390
30,rmgc,4,28,750,7469
30,rmgc,4,29,686,4719
30,rmgc,4,30,687,3475
30,rmgc,4,31,688,2319
30,rmgc,4,32,887,2098
30,rmgc,4,33,910,1867
30,rmgc,4,34,931,1736
30,rmgc,4,35,971,1614
30,rmgc,4,36,1115,1725
30,rmgc,4,37,1235,1605
30,rmgc,4,38,1370,1671
30,rmgc,4,39,1446,1882
30,rmgc,4,40,1661,1849
30,rmgc,4,41,1580,1749
30,rmgc,4,42,1626,1842
30,rmgc,4,43,1683,1615
30,rmgc,4,44,1689,1515
30,rmgc,4,45,1807,1440
30,rmgc,4,46,1875,1351
30,rmgc,4,47,1895,1425
30,rmgc,4,48,1959,1370
30,rmgc,4,49,2225,1496
30,rmgc,4,50,2499,1343
30,rmgc,4,51,2982,1605
